Class : 0 - # of People : 16, # of Videos : 118, # of Clips : 2609
Class : 1 - # of People : 12, # of Videos : 127, # of Clips : 2766

Epoch: [1][60/671], lr: 0.01000	Time 0.250 (0.376)	Data 0.001 (0.086)	Loss 0.4497 (0.6805)	Prec@1 87.500 (59.016)	Prec@5 0.000 (0.000)
Epoch: [1][80/671], lr: 0.01000	Time 0.133 (0.372)	Data 0.000 (0.065)	Loss 0.8615 (0.6882)	Prec@1 50.000 (58.333)	Prec@5 0.000 (0.000)
Epoch: [1][100/671], lr: 0.01000	Time 0.157 (0.325)	Data 0.000 (0.052)	Loss 0.8624 (0.6935)	Prec@1 12.500 (57.673)	Prec@5 0.000 (0.000)
Epoch: [1][120/671], lr: 0.01000	Time 0.172 (0.300)	Data 0.000 (0.044)	Loss 0.6176 (0.6935)	Prec@1 62.500 (57.438)	Prec@5 0.000 (0.000)
Epoch: [1][140/671], lr: 0.01000	Time 0.159 (0.284)	Data 0.000 (0.038)	Loss 0.7013 (0.7130)	Prec@1 50.000 (56.206)	Prec@5 0.000 (0.000)
Epoch: [1][160/671], lr: 0.01000	Time 0.225 (0.267)	Data 0.000 (0.033)	Loss 0.7175 (0.7187)	Prec@1 62.500 (55.978)	Prec@5 0.000 (0.000)
Epoch: [1][180/671], lr: 0.01000	Time 0.197 (0.266)	Data 0.000 (0.029)	Loss 0.8958 (0.7237)	Prec@1 37.500 (55.249)	Prec@5 0.000 (0.000)
Epoch: [1][200/671], lr: 0.01000	Time 0.180 (0.264)	Data 0.000 (0.027)	Loss 1.2160 (0.7180)	Prec@1 37.500 (56.032)	Prec@5 0.000 (0.000)
Epoch: [1][220/671], lr: 0.01000	Time 0.174 (0.260)	Data 0.000 (0.024)	Loss 0.5584 (0.7192)	Prec@1 100.000 (55.826)	Prec@5 0.000 (0.000)
Epoch: [1][240/671], lr: 0.01000	Time 0.200 (0.258)	Data 0.000 (0.022)	Loss 0.7114 (0.7153)	Prec@1 62.500 (56.328)	Prec@5 0.000 (0.000)
Epoch: [1][260/671], lr: 0.01000	Time 0.163 (0.256)	Data 0.000 (0.020)	Loss 0.7686 (0.7153)	Prec@1 37.500 (56.130)	Prec@5 0.000 (0.000)
Epoch: [1][280/671], lr: 0.01000	Time 0.200 (0.253)	Data 0.000 (0.019)	Loss 0.6388 (0.7125)	Prec@1 62.500 (56.361)	Prec@5 0.000 (0.000)
Epoch: [1][300/671], lr: 0.01000	Time 0.254 (0.251)	Data 0.001 (0.018)	Loss 0.5548 (0.7107)	Prec@1 62.500 (56.395)	Prec@5 0.000 (0.000)
Epoch: [1][320/671], lr: 0.01000	Time 0.266 (0.250)	Data 0.001 (0.017)	Loss 0.5717 (0.7096)	Prec@1 75.000 (56.581)	Prec@5 0.000 (0.000)
Epoch: [1][340/671], lr: 0.01000	Time 0.180 (0.249)	Data 0.000 (0.016)	Loss 0.9882 (0.7092)	Prec@1 50.000 (56.635)	Prec@5 0.000 (0.000)
Epoch: [1][360/671], lr: 0.01000	Time 0.276 (0.248)	Data 0.001 (0.015)	Loss 0.6816 (0.7131)	Prec@1 75.000 (56.198)	Prec@5 0.000 (0.000)
Epoch: [1][380/671], lr: 0.01000	Time 0.203 (0.246)	Data 0.000 (0.014)	Loss 0.6224 (0.7120)	Prec@1 62.500 (56.430)	Prec@5 0.000 (0.000)
Epoch: [1][400/671], lr: 0.01000	Time 0.238 (0.245)	Data 0.000 (0.013)	Loss 0.6712 (0.7107)	Prec@1 62.500 (56.421)	Prec@5 0.000 (0.000)
Epoch: [1][420/671], lr: 0.01000	Time 0.239 (0.245)	Data 0.000 (0.013)	Loss 0.6658 (0.7094)	Prec@1 50.000 (56.532)	Prec@5 0.000 (0.000)
Epoch: [1][440/671], lr: 0.01000	Time 0.191 (0.243)	Data 0.000 (0.012)	Loss 0.7059 (0.7074)	Prec@1 62.500 (56.746)	Prec@5 0.000 (0.000)
Epoch: [1][460/671], lr: 0.01000	Time 0.229 (0.243)	Data 0.000 (0.012)	Loss 0.9497 (0.7070)	Prec@1 37.500 (56.806)	Prec@5 0.000 (0.000)
Epoch: [1][480/671], lr: 0.01000	Time 0.197 (0.242)	Data 0.000 (0.011)	Loss 0.6984 (0.7072)	Prec@1 50.000 (56.601)	Prec@5 0.000 (0.000)
Epoch: [1][500/671], lr: 0.01000	Time 0.112 (0.239)	Data 0.000 (0.011)	Loss 0.6069 (0.7068)	Prec@1 75.000 (56.662)	Prec@5 0.000 (0.000)
Epoch: [1][520/671], lr: 0.01000	Time 0.127 (0.235)	Data 0.000 (0.011)	Loss 0.7024 (0.7065)	Prec@1 75.000 (56.814)	Prec@5 0.000 (0.000)
Epoch: [1][540/671], lr: 0.01000	Time 0.177 (0.233)	Data 0.000 (0.010)	Loss 0.6558 (0.7061)	Prec@1 75.000 (57.047)	Prec@5 0.000 (0.000)
Epoch: [1][560/671], lr: 0.01000	Time 0.269 (0.237)	Data 0.000 (0.010)	Loss 0.6712 (0.7040)	Prec@1 62.500 (57.353)	Prec@5 0.000 (0.000)
Epoch: [1][580/671], lr: 0.01000	Time 0.197 (0.238)	Data 0.000 (0.010)	Loss 0.7683 (0.7036)	Prec@1 25.000 (57.444)	Prec@5 0.000 (0.000)
Epoch: [1][600/671], lr: 0.01000	Time 0.222 (0.237)	Data 0.000 (0.009)	Loss 0.5502 (0.7026)	Prec@1 75.000 (57.550)	Prec@5 0.000 (0.000)
Epoch: [1][620/671], lr: 0.01000	Time 0.166 (0.237)	Data 0.000 (0.009)	Loss 0.7632 (0.7028)	Prec@1 25.000 (57.508)	Prec@5 0.000 (0.000)
Epoch: [1][640/671], lr: 0.01000	Time 0.166 (0.236)	Data 0.000 (0.009)	Loss 0.5368 (0.7034)	Prec@1 75.000 (57.547)	Prec@5 0.000 (0.000)
Epoch: [1][660/671], lr: 0.01000	Time 0.289 (0.236)	Data 0.000 (0.008)	Loss 0.5592 (0.7048)	Prec@1 87.500 (57.470)	Prec@5 0.000 (0.000)
Test: [0/196]	Time 3.382 (3.382)	Loss 17.4768 (17.4768)	Prec@1 0.000 (0.000)	Prec@5 0.000 (0.000)
Test: [20/196]	Time 0.107 (0.232)	Loss 6.7389 (14.7345)	Prec@1 0.000 (0.000)	Prec@5 0.000 (0.000)
Test: [40/196]	Time 0.139 (0.178)	Loss 0.0000 (9.6190)	Prec@1 100.000 (17.378)	Prec@5 0.000 (0.000)
Test: [60/196]	Time 0.052 (0.165)	Loss 0.0954 (6.4818)	Prec@1 100.000 (44.467)	Prec@5 0.000 (0.000)
Test: [80/196]	Time 0.100 (0.149)	Loss 15.2433 (7.6681)	Prec@1 0.000 (41.975)	Prec@5 0.000 (0.000)
Test: [100/196]	Time 0.089 (0.137)	Loss 16.9796 (9.1461)	Prec@1 0.000 (33.663)	Prec@5 0.000 (0.000)
Test: [120/196]	Time 0.097 (0.130)	Loss 12.3025 (9.8917)	Prec@1 0.000 (28.099)	Prec@5 0.000 (0.000)
Test: [140/196]	Time 0.079 (0.124)	Loss 0.0002 (9.4768)	Prec@1 100.000 (28.723)	Prec@5 0.000 (0.000)
Test: [160/196]	Time 0.083 (0.121)	Loss 0.0083 (8.3005)	Prec@1 100.000 (37.578)	Prec@5 0.000 (0.000)
Test: [180/196]	Time 0.070 (0.116)	Loss 0.0000 (7.3838)	Prec@1 100.000 (44.475)	Prec@5 0.000 (0.000)

Participant : c0000, # of Pred : 12
Class : 1, Pred_0 : 12, Pred_1 : 00, Pred_2 : 00, Pred_3 : 00

Participant : c0002, # of Pred : 12
Class : 0, Pred_0 : 12, Pred_1 : 00, Pred_2 : 00, Pred_3 : 00

Participant : c0007, # of Pred : 08
Class : 1, Pred_0 : 08, Pred_1 : 00, Pred_2 : 00, Pred_3 : 00

Participant : c0011, # of Pred : 16
Class : 1, Pred_0 : 16, Pred_1 : 00, Pred_2 : 00, Pred_3 : 00

Participant : c0033, # of Pred : 12
Class : 0, Pred_0 : 12, Pred_1 : 00, Pred_2 : 00, Pred_3 : 00

Participant : c0056, # of Pred : 05
Class : 0, Pred_0 : 05, Pred_1 : 00, Pred_2 : 00, Pred_3 : 00

Participant : c0057, # of Pred : 05
Class : 0, Pred_0 : 05, Pred_1 : 00, Pred_2 : 00, Pred_3 : 00

Testing Results: Prec@1 48.692 Prec@5 0.000 Loss 6.82302
Best Prec@1: 51.308

Epoch: [2][0/671], lr: 0.01000	Time 6.875 (6.875)	Data 6.530 (6.530)	Loss 0.7139 (0.7139)	Prec@1 62.500 (62.500)	Prec@5 0.000 (0.000)
Epoch: [2][20/671], lr: 0.01000	Time 0.156 (0.580)	Data 0.000 (0.383)	Loss 0.6234 (0.7179)	Prec@1 62.500 (54.167)	Prec@5 0.000 (0.000)
Epoch: [2][40/671], lr: 0.01000	Time 0.218 (0.430)	Data 0.000 (0.197)	Loss 0.8285 (0.7063)	Prec@1 50.000 (56.707)	Prec@5 0.000 (0.000)
Epoch: [2][60/671], lr: 0.01000	Time 0.286 (0.431)	Data 0.000 (0.132)	Loss 0.6841 (0.7201)	Prec@1 37.500 (53.279)	Prec@5 0.000 (0.000)
Epoch: [2][80/671], lr: 0.01000	Time 0.243 (0.395)	Data 0.000 (0.100)	Loss 0.7067 (0.7184)	Prec@1 62.500 (53.549)	Prec@5 0.000 (0.000)
Epoch: [2][100/671], lr: 0.01000	Time 0.169 (0.369)	Data 0.000 (0.080)	Loss 0.6741 (0.7229)	Prec@1 62.500 (52.599)	Prec@5 0.000 (0.000)
Epoch: [2][120/671], lr: 0.01000	Time 0.214 (0.341)	Data 0.000 (0.067)	Loss 0.6620 (0.7258)	Prec@1 62.500 (52.066)	Prec@5 0.000 (0.000)
Epoch: [2][140/671], lr: 0.01000	Time 0.215 (0.321)	Data 0.000 (0.057)	Loss 0.6473 (0.7228)	Prec@1 62.500 (52.837)	Prec@5 0.000 (0.000)
Epoch: [2][160/671], lr: 0.01000	Time 0.198 (0.309)	Data 0.000 (0.050)	Loss 0.7658 (0.7199)	Prec@1 37.500 (53.106)	Prec@5 0.000 (0.000)
Epoch: [2][180/671], lr: 0.01000	Time 0.208 (0.299)	Data 0.000 (0.045)	Loss 0.6869 (0.7154)	Prec@1 50.000 (53.591)	Prec@5 0.000 (0.000)
Epoch: [2][200/671], lr: 0.01000	Time 0.264 (0.291)	Data 0.000 (0.040)	Loss 0.8711 (0.7124)	Prec@1 50.000 (54.104)	Prec@5 0.000 (0.000)
